Asin,Img_URL,Web_URL,Title,Type,Text
B0761JZY5H,https://m.media-amazon.com/images/I/81g9xS8V-OL.jpg,https://music.amazon.com/albums/B0761JZY5H,Mi Gente [feat. Beyoncé],Song,Mi Gente [feat. Beyoncé] is a Modern Pop song by Beyoncé and Willy William and J Balvin from 2010s
B0761JZY5H,https://m.media-amazon.com/images/I/81g9xS8V-OL.jpg,https://music.amazon.com/albums/B0761JZY5H,Mi Gente [feat. Beyoncé],Song,Mi Gente [feat. Beyoncé] is a Latin Pop song by Willy William from 2010s
B0761JZY5H,https://m.media-amazon.com/images/I/81g9xS8V-OL.jpg,https://music.amazon.com/albums/B0761JZY5H,Mi Gente [feat. Beyoncé],Song,Mi Gente [feat. Beyoncé] is a Latin Pop song by Beyoncé and Willy William and J Balvin from 2010s
B0761JZY5H,https://m.media-amazon.com/images/I/81g9xS8V-OL.jpg,https://music.amazon.com/albums/B0761JZY5H,Mi Gente [feat. Beyoncé],Song,Mi Gente [feat. Beyoncé] is a Latin song by Willy William from 2010s
B0761JZY5H,https://m.media-amazon.com/images/I/81g9xS8V-OL.jpg,https://music.amazon.com/albums/B0761JZY5H,Mi Gente [feat. Beyoncé],Song,Mi Gente [feat. Beyoncé] is a Latin song by Beyoncé and Willy William and J Balvin from 2010s
B07W71HKQS,https://m.media-amazon.com/images/I/81UCsU2vCWL.jpg,https://music.amazon.com/albums/B07W71HKQS,One Man Band,Song,One Man Band is a Country song by Old Dominion from 2010s
B07W71HKQS,https://m.media-amazon.com/images/I/81UCsU2vCWL.jpg,https://music.amazon.com/albums/B07W71HKQS,One Man Band,Song,One Man Band is a Contemporary Country song by Old Dominion from 2010s
B07V1ZYBXJ,https://m.media-amazon.com/images/I/71LRK3zv58L.jpg,https://music.amazon.com/albums/B07V1ZYBXJ,Homesick,Song,Homesick is a Country song by Kane Brown from 2010s
B07V1ZYBXJ,https://m.media-amazon.com/images/I/71LRK3zv58L.jpg,https://music.amazon.com/albums/B07V1ZYBXJ,Homesick,Song,Homesick is a Contemporary Country song by Kane Brown from 2010s
B07H2N1D6G,https://m.media-amazon.com/images/I/A1tlAiiUMEL.jpg,https://music.amazon.com/albums/B07H2N1D6G,Make Me Want To,Song,Make Me Want To is a Rap & Hip Hop song by Jimmie Allen from 2010s
